"ts20358,Half & Half,SHOW,Half & Half is an American sitcom that aired on UPN from September 23  2002  to May 15  2006. The show focuses on the lives of two paternal half-sisters in their twenties who were estranged throughout their childhood  and are finally developing a close relationship. The series is set in San Francisco.,,,,,,,,,,,"
"ts44053,The Qin Empire,SHOW,The Qin Empire is a 2009 Chinese television series based on Sun Haohui's novel of the same Chinese title. The 51 episodes long series chronicles the rise of the Qin state in the Warring States period during the reign of Duke Xiao of Qin. It was produced in 2006 and first aired on television channels in China in December 2009.,2009,TV-MA,46,['war'],['CN'],3.0,,,,74.088,8.7"
"ts63295,Vientos de agua,SHOW,Vientos de agua is a 2006 cult Argentine- Spanish mini TV series created by Juan José Campanella. The drama traces a Spaniard's emigration to Argentina in the 1930s  and  years later  his son's return to modern-day Spain.,,,,,,,,,,,"
"tm96037,Naruto Shippuden the Movie: The Lost Tower,MOVIE,""Assigned on a mission to capture Mukade  a missing-nin  Naruto Uzumaki sets out for the once glorious historic ruins of """"Ouran""""  where he pursues and corners the rouge ninja. Mukade's goal is revealed to be a dormant leyline within the ruins"",,,,,,,,,,,"
"tm418157,Monty Python Conquers America,MOVIE,This documentary follows the evolution of the British sketch comedy troupe that redefined humor and shaped an entire generation of American comics  focusing especially on their conquest of the American comedy scene ,2008,,55,['documentation'],[],,,,,1.922,6.5"
"ts1413,Autumn's Concerto,SHOW,Autumn's Concerto is a 2009 Taiwanese drama starring Ady An  Vanness Wu of F4  and Tiffany Hsu. It was produced by Sanlih E-Television and directed by Chen Hui Ling. The drama started filming in June 2009 and was completed in December 2009.,,,,,,,,,,,"
"ts98353,DreamWorks Spooky Stories,SHOW,A collection of animated tales includes shrek's thrilling tales and scared shrekless.,2009,TV-PG,26,['animation'],['US'],1.0,tt6958564,6.2,19.0,0.651,"
"ts137477,Behind Enemy Lines,SHOW,Documentary about the creation of the Commando's and their exploits in all areas of conflict,2001,TV-14,49,['drama'],['US'],1.0,tt5170230,7.2,42.0,,"
"ts4866,Fated to Love You,SHOW,Fated to Love You  also known as You're My Destiny  Sticky Note Girl or Destiny Love  is a 2008 Taiwanese drama starring Joe Chen  Ethan Juan  Baron Chen and Bianca Bai. It was produced by Sanlih E-Television and directed by Chen Ming Zhang with location filming in Taiwan  Hong Kong and Shanghai. It holds the record for the highest average single-episode rating at 10.91 with a peak at 13.64 for episode 20 broadcast on 27 July 2008  and broke the previous record held by The Prince Who Turns Into a Frog.,,,,,,,,,,,"
"ts34414,Nuevo Rico Nuevo Pobre,SHOW,Nuevo Rico Nuevo Pobre is a Colombian telenovela produced and broadcast by Caracol TV starring Martín Karpan  John Alex Toro  Maria Cecilia Botero  Carolina Acevedo  Hugo Gómez  former Miss Colombia Andrea Noceti and Andrés Toro.,,,,,,,,,,,"
"ts204466,Pecados capitales,SHOW,Evaristo Salinas is a successful businessman in his old age but knows he will die and decides to build a game between his family to see who is worthy of his inheritance. Each member of the Salinas family will be a cardinal sin.,2002,TV-MA,43,['comedy'  'drama'  'romance'],['CO'],1.0,tt0355119,8.5,190.0,2.625,"
"tm352863,Splatter,MOVIE,After self-righteous rockstar Johnny Splatter puts a bullet in his own head  only five people are chosen to attend the reading of his will: the manager  the shrink  the guitarist  the lover  and the groupie. Will they get what they came for  or what Splatter thinks they deserve?,2009,,29,['horror'],['US'],,tt6999072,,,2.047,3.4"
"ts67595,Pedro El Escamoso,SHOW,Pedro el escamoso is a popular telenovela filmed in Colombia and produced by the Colombian network  Caracol TV.,,,,,,,,,,,"
"tm84348,Doing Hard Time,MOVIE,A father's eight year old son is murdered in a gangland shooting. The father (Boris Kodjoe) gets himself thrown into prison to avenge his son's death.,2004,R,95,['crime'],['US'],,,,,6.132,5.4"
"tm41953,Tim Minchin: So F**king Rock Live,MOVIE,Comedic pianist Tim Minchin performs a host of his catchy songs that touch on everything from the Middle East to the healing power of canvas bags.,2008,,127,['comedy'],['GB'],,,,,2.761,6.9"
"tm421611,The Egyptian Nightingale,MOVIE,A poor guy want to be famous singer but he is a failure one when his mother dies he knows from her that he has a millionaire twins brother.,2008,,115,['comedy'],['EG'],,,,,2.176,7.1"
"ts178360,El cartel 2 - La guerra total,SHOW,Now Pepe Cadena finishes telling the story in which the most powerful drug traffickers in Colombia are strengthened but later fall while he and others dedicate themselves to the dangerous task of exposing them to collaborate with justice.,2010,TV-MA,44,['action'  'crime'  'horror'  'thriller'  'war'],['CO'],1.0,tt1667724,6.8,228.0,,"
